distCode,shopNo,distName,latitude,longitude,utilization_ratio,portability_ratio,log_volatility,log_rice_wheat,persona,hdb_persona,behavioral_intensity_index
532,1901001,Adilabad,19.641644,78.39121,0.8579832,0.037721664,8.276194,9.820473,Stable Rural Mainstream,Core Cluster,0.5237088
532,1901002,Adilabad,19.669092,78.42201,0.8890529,0.053323198,7.6596575,9.243168,Stable Rural Mainstream,Core Cluster,0.5205553
532,1901003,Adilabad,19.664644,78.427185,0.91342676,0.073009886,6.965526,8.586462,Stable Rural Mainstream,Core Cluster,0.5146717
532,1901004,Adilabad,19.696032,78.38102,0.89902085,0.0368971,7.2932835,8.924478,Stable Rural Mainstream,Core Cluster,0.5058539
532,1901005,Adilabad,19.697063,78.35112,0.93263036,0.03311375,8.197188,9.953476,Stable Rural Mainstream,Core Cluster,0.5418616
532,1901006,Adilabad,19.673668,78.46799,0.92173064,0.056671545,7.605827,9.171194,Stable Rural Mainstream,Core Cluster,0.5300639
532,1901007,Adilabad,19.63932,78.41562,0.8959345,0.057876363,7.585166,9.101703,Stable Rural Mainstream,Core Cluster,0.52217984
532,1901008,Adilabad,19.6363,78.324684,0.9438718,0.060682297,7.243579,8.962444,Stable Rural Mainstream,Core Cluster,0.5273145
532,1901009,Adilabad,19.65773,78.32862,0.9330809,0.021098936,7.160365,8.8921995,Stable Rural Mainstream,Core Cluster,0.50571793
532,1901010,Adilabad,19.598022,78.411804,0.95491064,0.07070361,8.189285,9.890991,Stable Rural Mainstream,Core Cluster,0.56334174
532,1901011,Adilabad,19.635736,78.4632,0.8506322,0.09855283,7.645015,9.172642,Stable Rural Mainstream,Core Cluster,0.5266765
532,1901012,Adilabad,19.654419,78.521736,0.9370302,0.12197649,8.085104,9.690277,Stable Rural Mainstream,Core Cluster,0.5753243
532,1901013,Adilabad,19.574581,78.44022,0.9374428,0.061872113,7.4621515,9.060463,Stable Rural Mainstream,Core Cluster,0.5324965
532,1901014,Adilabad,19.566809,78.42836,0.923795,0.018214954,6.5212436,8.103254,High-Portability Transit Hubs,Core Cluster,0.4823779
532,1901015,Adilabad,19.615545,78.42174,0.8151364,0.032246653,7.203892,8.889499,Stable Rural Mainstream,Core Cluster,0.4761149
532,1901016,Adilabad,19.61257,78.3635,0.8953145,0.03405966,8.04305,9.7335005,Stable Rural Mainstream,Core Cluster,0.5263663
532,1902001,Adilabad,19.687069,78.42302,0.88161695,0.0854578,7.968735,9.553825,Stable Rural Mainstream,Core Cluster,0.5405605
532,1902002,Adilabad,19.718618,78.37097,0.91099626,0.10962396,7.5001554,9.2154,Stable Rural Mainstream,Core Cluster,0.5448169
532,1902003,Adilabad,19.687063,78.450935,0.9534483,0.052369315,7.187123,8.7776985,Stable Rural Mainstream,Core Cluster,0.5251485
532,1902004,Adilabad,19.675388,78.464424,0.95624983,0.06297349,6.8545065,8.36495,Stable Rural Mainstream,Core Cluster,0.52013403
532,1902005,Adilabad,19.678139,78.48263,0.9484117,0.07227267,7.801088,9.395592,Stable Rural Mainstream,Core Cluster,0.55023587
532,1902006,Adilabad,19.723505,78.46013,0.939913,0.46126804,7.541993,9.157437,Urban Mobility-Driven,Core Cluster,0.69541955
532,1902007,Adilabad,19.725195,78.45881,0.8920512,0.48799568,7.391243,8.968735,Urban Mobility-Driven,Core Cluster,0.68717605
532,1902009,Adilabad,19.713167,78.47421,0.9346963,0.07775379,7.8072376,9.369176,Stable Rural Mainstream,Core Cluster,0.54850036
532,1902010,Adilabad,19.732468,78.50754,0.8410275,0.045787662,7.152959,8.642555,Stable Rural Mainstream,Core Cluster,0.48775256
532,1902011,Adilabad,19.707336,78.455826,0.9139958,0.065714754,7.231418,8.738592,Stable Rural Mainstream,Core Cluster,0.5199955
532,1904001,Adilabad,19.735077,78.642944,0.8999175,0.11142293,7.89965,9.431148,Stable Rural Mainstream,Core Cluster,0.5543396
532,1904002,Adilabad,19.73656,78.64074,0.9766816,0.14489016,7.9043837,9.429534,Stable Rural Mainstream,Core Cluster,0.5908994
532,1904003,Adilabad,19.73398,78.59742,0.8731879,0.02531611,7.46163,9.108777,Stable Rural Mainstream,Core Cluster,0.4985818
532,1904004,Adilabad,19.69678,78.66728,0.9035581,0.046023265,7.610002,9.149466,Stable Rural Mainstream,Core Cluster,0.52047956
532,1904005,Adilabad,19.764942,78.652596,0.8556798,0.048034344,7.907479,9.41285,Stable Rural Mainstream,Core Cluster,0.5159505
532,1904006,Adilabad,19.785015,78.6658,0.95447016,0.088316426,7.437416,8.944011,Stable Rural Mainstream,Core Cluster,0.5474316
532,1904007,Adilabad,19.767776,78.67601,0.9286793,0.06928771,7.4755425,9.005977,Stable Rural Mainstream,Core Cluster,0.5332402
532,1904008,Adilabad,19.718636,78.68251,0.9259899,0.06908986,6.6432056,8.168282,High-Portability Transit Hubs,Core Cluster,0.5070885
532,1904009,Adilabad,19.71765,78.70244,0.8662676,0.048503317,7.210937,8.785566,Stable Rural Mainstream,Core Cluster,0.4981708
532,1904010,Adilabad,19.749102,78.69162,0.8385779,0.023579026,7.11428,8.6249895,Stable Rural Mainstream,Core Cluster,0.47696012
